timestamp,context_id,scenario_id,risk_level,control_allowed,need_human_review,blocked_reason
2026-06-16T15:56:31.551722+00:00,c7602a4e-008e-4970-b7d2-24f3d6b13df8,lab_overcrowded_high_co2,HIGH,False,True,"Lab mode blocks direct actuator control. LLM output is decision support, not final actuator command."
2026-06-16T15:56:31.555814+00:00,ff67e5fe-9226-4708-b3de-d5ec1c656dab,fire_alarm_conflict,MEDIUM,False,True,"Lab mode blocks direct actuator control. LLM output is decision support, not final actuator command. Human review required: flame_vision_confidence < 0.6."
2026-06-16T15:56:31.562164+00:00,ed4cc41c-0a87-4d85-949e-567a03784aaf,fire_alarm_conflict,MEDIUM,False,True,"Lab mode blocks direct actuator control. LLM output is decision support, not final actuator command. Human review required: flame_vision_confidence < 0.6."
2026-06-17T15:55:24.739438+00:00,a5fa4d93-c8f5-483c-ba7c-936b5741ef47,lab_overcrowded_high_co2,HIGH,False,True,"Lab mode blocks direct actuator control. LLM output is decision support, not final actuator command."
2026-06-17T15:55:24.749552+00:00,93a7885d-0a4b-4ad6-828b-b279821540c9,fire_alarm_conflict,MEDIUM,False,True,"Lab mode blocks direct actuator control. LLM output is decision support, not final actuator command. Human review required: flame_vision_confidence < 0.6."
2026-06-17T15:55:24.787338+00:00,1ee6091f-8999-478b-86f2-ace76022d778,fire_alarm_conflict,MEDIUM,False,True,"Lab mode blocks direct actuator control. LLM output is decision support, not final actuator command. Human review required: flame_vision_confidence < 0.6."
2026-06-17T15:56:14.959679+00:00,ff0f6021-132b-4369-b2e4-e34d31d91bda,lab_overcrowded_high_co2,HIGH,False,True,"Lab mode blocks direct actuator control. LLM output is decision support, not final actuator command."
2026-06-17T15:57:39.953094+00:00,cb5b3676-9365-406f-8407-1258e2998875,lab_overcrowded_high_co2,HIGH,False,True,"Lab mode blocks direct actuator control. LLM output is decision support, not final actuator command."
2026-06-17T15:57:48.765460+00:00,c32398c9-d97a-404f-bbcb-0da6e65a5ee4,lab_overcrowded_high_co2,HIGH,False,True,"Lab mode blocks direct actuator control. LLM output is decision support, not final actuator command."
2026-06-17T15:57:49.699772+00:00,0108a335-35af-491d-9735-609e9e8eca95,lab_overcrowded_high_co2,HIGH,False,True,"Lab mode blocks direct actuator control. LLM output is decision support, not final actuator command."
